queue_rank,score_include,title,abstract,record_id,priority_bucket
206,0.034843909050849,COVID-19 pandemic and vitamin D: rising trends in status and in daily amounts of vitamin D provided by supplementsBMJ Open,"Objectives: Since the onset of the COVID-19 pandemic in 2020, there have been plausible suggestions about the need to augment vitamin D intake by supplementation in order to prevent SARS-CoV2 infection and reduce mortality. Some groups have advocated supplementation for all adults, but governmental agencies have advocated targeted supplementation. We sought to explore the effect of the COVID-19 pandemic on both vitamin D status and on the dose of new-to-market vitamin D supplements. Setting: University hospital, Dublin, Ireland. Participants: Laboratory-based samples of circulating 25-hydroxyvitamin D (25OHD) (n=100 505). Primary and secondary outcome measures: Primary outcomes: comparing yearly average 25OHD prior to the pandemic (April 2019 to March 2020) with during the pandemic (April 2020 to March 2021) and comparing the dose of new-to-market vitamin D supplements between 2017 and 2021 (n=2689). Secondary outcome: comparing prevalence of vitamin D deficiency and vitamin D excess during the two time periods. Results: The average yearly serum 25OHD measurement increased by 2.8 nmol/L (61.4, 95% CI 61.5 to 61.7 vs 58.6, 95% CI 58.4 to 58.9, p<0.001), which was almost threefold higher than two similar trend analyses that we conducted between 1993 and 2016. There was a lower prevalence of low 25OHD and a higher prevalence of high 25OHD. The dose of new-to-market vitamin D supplements was higher in the years 2020-2021 compared with the years 2017-2019 (p<0.001). Conclusion: We showed significant increases in serum 25OHD and in the dose of new-to-market vitamin D supplements. The frequency of low vitamin D status reduced indicating benefit, but the frequency of vitamin D excess increased indicating risk of harm. Rather than a blanket recommendation about vitamin D supplementation for all adults, we recommend a targeted approach of supplementation within current governmental guidelines to at-risk groups and cautioning consumers about adverse effects of high dose supplements on the market.",156667,low
207,0.0347555422786914,BuffalopoxVoprosy Virusologii,"Buffalopox is a contagious viral disease affecting milch buffaloes (Bubalus Bubalis) and, rarely, cows. The disease has zoonotic implications, as outbreaks are frequently associated with human infections, particularly in the milkers. Buffalopox is associated with high morbidity (80%). The clinical symptoms of the disease are characterized by wartline lesions on the udder, teats, inguinal region, base of the ears, and over the parotid. In the severe form, generalized rash is observed. Although the disease does not lead to high mortality, it has an adverse effect on the productivity and working capacity of the animals resulting in large economic losses. The outbreaks of buffalopox occurred frequently in India, Pakistan, Bangladesh, Nepal, Iran, Egypt, and Indonesia, where buffaloes are reared as milch animals. The buffalopox is closely related with other Orthopoxviruses. In particular, it is close to the vaccinia virus. There is a view that the buffalopox virus might be derived from the vaccinia virus. It is possible that it became pathogenic to humans and animals through adaptive evolution of the genome by obtaining the virulence genes. PCR is performed for the C18L gene for the purpose of specific detection and differentiation of the buffalopox virus from other orthopoxviruses. The C18L gene encodes the ankyrin repeat protein, which determines the virus host range. The open reading frame of this gene is only 150-nucleotide long as against 453 nucleotide in the vaccinia virus, 756 - in the camelpox virus, and 759 - in the cowpox virus. It can be concluded that a systematic study based on the epidemiology of the virus, existence of reservoirs, biological transmission, and the molecular organization of the buffalopox virus from buffalo, cow, and humans may pave the way to a better understanding of the circulating virus and contribute to the control of the disease using the suitable diagnostic and prophylactic measures.",40037,low
208,0.0342505892362897,Endocrine toxicity of immune checkpoint inhibitors: A real-world study leveraging US Food and Drug Administration adverse events reporting systemJournal for ImmunoTherapy of Cancer,"Background: Immune-checkpoint inhibitors (ICIs) emerged as a novel class of drugs for the treatment of a broad spectrum of malignancies. ICIs can produce durable antitumor responses but they are also associated with immune-related adverse events (irAEs). Endocrinopathies have reported as one of the most common irAEs of ICIs. Method(s): This study aimed to quantify association of endocrine adverse events (AEs) and ICI therapy and also to characterize the profiles of ICI-related endocrine complications from real-world practice. Data from the first quarter of 2014 to first quarter of 2019 in FDA Adverse Event Reporting System (FAERS) database were gathered to conduct disproportionality analysis. The definition of endocrine AEs relied on the preferred terms (PTs) provided by the Medical Dictionary for Regulatory Activities (MedDRA). Two signal indices based on statistical shrinkage transformation, reporting odds ratios (ROR) and information component (IC), were used to evaluate correlations between ICIs and endocrine events. For ROR, it was defined a signal if the lower limit of the 95% confidence interval (ROR<inf>025</inf>) more than one, with at least 3 cases. For IC, lower end of the 95% confidence interval of IC (IC<inf>025</inf>) exceeding zero was deemed statistically significant. Result(s): A total of 29,294,336 records were involved, among these 6260 records related to endocrine AEs after ICIs treatment were identified. In general, male had a slightly lower reporting frequencies for ICIs-related endocrinopathies compared with female but not significant (ROR = 0.98 95%CI: 0.93-1.04) and the difference varied in several common endocrine AEs. Notably, in general, ICI drugs were significantly associated with over-reporting frequencies of endocrine complications, corresponding to IC<inf>025</inf> = 2.49 and ROR<inf>025</inf> = 5.99. For monotherapy, three strategies (anti-PD-1, anti-PD-L1 and anti-CTLA-4) were all associated with significant increasing endocrine events. Different reporting frequencies emerged when anti-CTLA-4 therapy was compared with anti-PD-1/PD-L1 medications for endocrine toxicities, corresponding to ROR = 1.68 (95%CI 1.55-1.83), ROR = 2.54 (95%CI 2.20-2.93), respectively. Combination therapy was associated with higher risk of endocrinopathies compared with monotherapy (ROR = 2.00, 95%CI 1.89-2.11). When further analysis, the spectrum of endocrine AEs differed in immunotherapy regimens. Hypothyroidism (N = 885,14.14%), adrenal insufficiency(N = 730,11.66%), hypophysitis (N = 688,10.99%) and hyperthyroidism (N = 472,7.54%) were top 4 ranked endocrine events after ICI therapy and their reporting frequency also differed in ICI immunotherapies. Conclusion(s): Our pharmacovigilance analysis shows a high reporting frequency of endocrine AEs provoked by ICI monotherapy (especially anti-CTLA-4 therapy) and further reinforced by combination therapy. In addition, treatment with different ICI immunotherapies may result in a unique and distinct profile of endocrinopathies. Early recognition and management of ICI-related endocrine irAEs is of vital importance in clinical practice. Copyright © 2019 The Author(s).",109389,low
209,0.034071096405473,Immunovirological and environmental screening reveals actionable risk factors for fatal COVID-19 during post-vaccination nursing home outbreaksNature Aging,"Coronavirus Disease 2019 (COVID-19) vaccination has resulted in excellent protection against fatal disease, including in older adults. However, risk factors for post-vaccination fatal COVID-19 are largely unknown. We comprehensively studied three large nursing home outbreaks (20-35% fatal cases among residents) by combining severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) aerosol monitoring, whole-genome phylogenetic analysis and immunovirological profiling of nasal mucosa by digital nCounter transcriptomics. Phylogenetic investigations indicated that each outbreak stemmed from a single introduction event, although with different variants (Delta, Gamma and Mu). SARS-CoV-2 was detected in aerosol samples up to 52 d after the initial infection. Combining demographic, immune and viral parameters, the best predictive models for mortality comprised IFNB1 or age, viral ORF7a and ACE2 receptor transcripts. Comparison with published pre-vaccine fatal COVID-19 transcriptomic and genomic signatures uncovered a unique IRF3 low/IRF7 high immune signature in post-vaccine fatal COVID-19 outbreaks. A multi-layered strategy, including environmental sampling, immunomonitoring and early antiviral therapy, should be considered to prevent post-vaccination COVID-19 mortality in nursing homes.",8735,low
210,0.0337889870482293,Impact of cannabis on outcome in patients following traumatic injuryInjury,"<b>INTRODUCTION</b>: Outcomes of trauma patients who tested positive for cannabis at the time of admission showed variable results. Sample size and research methodology that was used in prior studies may have resulted in the conflict. The purpose of the study was to evaluate the impact of cannabis use on outcomes in trauma patients using national data. Our hypothesis was that the use of cannabis will impact outcomes._x000D_<b>METHODS</b>: The trauma quality improvement program (TQIP) Participant Use File (PUF) database of the calendar years 2017 and 2018 were accessed for the study. All trauma patients aged 12 years old and above who were tested for cannabis at the time of initial evaluation were included in the study. Variables included in the study were: race, sex, injury severity score (ISS), Glasgow Coma Scale (GCS) Score, Abbreviated Injury Scale (AIS) score of different body regions and comorbidities. Excluded from the study were all patients who were not tested for cannabis or tested for cannabis but were also tested positive for alcohol and other drugs and those suffering from mental conditions. Propensity matched analysis was performed. The outcome of interest was overall in-hospital mortality and complications._x000D_<b>RESULTS</b>: Propensity matched analysis created 28,028 pairs. The analysis showed no significant difference in-hospital mortality between cannabis positive and cannabis negative groups (3.2% vs. 3.2%). The median length of hospital stay in both groups was not significantly different (4 [IQR: 3-8] vs. 4 [IQR: 2-8] days). No significant difference was found between the two groups regarding hospital complications except in pulmonary embolism (PE) with 0.1% less incidence of PE in the cannabis positive group compared to the cannabis negative group (0.4 vs. 0.5%). The incidence of DVT was identical in both groups (0.9% vs. 0.9%)._x000D_<b>CONCLUSION</b>: Cannabis was not associated with overall in-hospital mortality or morbidity. There was a slight decrease in the incidence of PE in the cannabis positive group.",10029,low
211,0.0336910363631925,"The difference in mortality between adult patients with laboratory documented influenza A and B, a single centre retrospective observational studyJournal of Medical Virology","<b>BACKGROUND</b>: Seasonal influenza is an annual occurrence that leads to large community outbreaks and increased hospitalization. A number of studies have suggested that influenza A (FLUAV) is associated with increased rates of hospitalization and mortality compared with influenza B (FLUBV). This study compared demographic and clinical variables in patients diagnosed with FLUAV or FLUBV during the 2017-2018 UK Influenza season._x000D_<b>METHODS</b>: Patient demographic and clinical information were obtained by accessing medical records of patients testing FLUAV or FLUBV positive using the Cepheid GXP. We used the chi<sup>2</sup> test to compare variables in patients with laboratory-confirmed FLUAV and FLUBV._x000D_<b>RESULTS</b>: One hundred and twenty-seven adult patients had confirmed Influenza, 71 (55.9%) had FLUAV, and 56 (44.1%) FLUBV. There was no significant difference between severity at presentation, admission to HDU/ITU or median length of stay. The overall mortality was 6 (4.5%) and 9 (7.1%) at 7 and 30 days, respectively. There was a statistically significant difference in 7-day mortality between patients with FLUAV and FLUBV, 1 (1.4%) versus 5 (8.9%), respectively, p = .047) although this became nonsignificant at 30 days._x000D_<b>CONCLUSIONS</b>: With the exception of mortality, we did not observe significant differences between patients with FLUAV and FLUBV. Seven-day mortality in patients with FLUBV was significantly higher with FLUAV, although this was was not apparent at 30 days.",24380,low
212,0.0333380707710983,Primary colorectal diffuse large B-cell lymphoma: A report of eighteen cases in a tertiary care centerCancer Treatment and Research Communications,"Primary colorectal diffuse large B-cell lymphoma (DLBCL) is very rare colon malignancy. It is important to know the main demographic and clinical characteristics of these patients. We conducted a retrospective analysis of 18 patients diagnosed with primary colorectal DLBCL during a 17-year period at the National Cancer Institute of Brazil (INCA) between 2000 and 2018. Demographic characteristics, tumor localization, HIV status, lactate dehydrogenase (LDH) levels, treatment modality and follow-up status were obtained from medical records. Survival was estimated from the date of diagnosis until death. There were 11 male and seven female patients in our cohort, the median age at diagnosis was 59.5 years and four patients were HIV positive. Tumor was mainly localized in the right colon. Patients were treated with chemotherapy (CT) and/or surgical resection. Eleven patients died during a median follow-up of 59 months and the median survival time was 10 months. Six or more cycles of CT (HR=0.19; CI 95% 0.054-0.660, p = 0.009), LDH levels below 350 U/L (HR=0.229; CI 95% 0.060-0.876, p = 0.031) and surgical resection (HR=0.23; CI 95% 0.065-0.828, p = 0.030) were associated with reduced risk of death in univariate analysis. Patient's age and DLBCL right colon localization should be considered at diagnosis to distinguish between DLBCL and other diseases for differential diagnosis. Six cycles of CT, LDH levels below 350 U/L and surgical resection were associated with better survival. Our results are consistent with previous publications and address the importance of correct colorectal DLBCL diagnosis and treatment. Copyright © 2023",68557,low
213,0.0333280431169402,Zika virus: Zika virus impairs growth in human neurospheres and brain organoidsScience,"Since the emergence of Zika virus (ZIKV), reports of microcephaly have increased considerably in Brazil; however, causality between the viral epidemic and malformations in fetal brains needs further confirmation. We examined the effects of ZIKV infection in human neural stem cells growing as neurospheres and brain organoids. Using immunocytochemistry and electron microscopy, we showed that ZIKV targets human brain cells, reducing their viability and growth as neurospheres and brain organoids. These results suggest that ZIKV abrogates neurogenesis during human brain development.",127745,low
214,0.0329674229690098,P.0494 Which rheumatic patients are more vulnerable to the stressful effects of COVID-19?European Neuropsychopharmacology,"Background: Post-traumatic stress disorder (PTSD) is a psychiatric condition that may develop after exposure to a traumatic event [1]; COVID-19 pandemic could be defined as a traumatic experience since it has resulted in either direct (e.g. the fear of contagion and the risk of death) or indirect aftermaths (e.g. psychological distress, depression and anxiety) [2]. Besides, it has been shown that PTSD, promoting inflammatory responses, might worsen the prognosis of patients affected by illnesses characterized by systemic inflammation such as rheumatic diseases (RDs) [3]. Objective(s): The aim of the present study is to verify the presence of PTSD symptoms and related factors in patients suffering from RDs during the COVID-19 pandemic. Method(s): This cross-sectional study analyzed data from an anonymous online survey about mental health of people with RDs. Participants were enrolled through several RD patients' associations between May and September 2020, after the first pandemic wave in Italy. They filled out a questionnaire including demographic and clinical information, mental health issues and the 22-items of the Impact of Event Scale-Revised (IES-R). The total score ranges from 0 to 88; a score >= 33 defines patients at risk of PTSD. Descriptive analyses were performed on the total sample: one-way analyses of variance (ANOVAs) were used to compare IES-R scores between groups defined by qualitative variables; Pearson's correlations were performed to study the relation between rating scale scores and quantitative variables. Finally, multivariate regression analyses were performed to identify independent variables associated with IES-R scores. Result(s): 507 patients with RDs participated in the survey: 419 females (82.6%) and 88 males (17.4%) with a mean age of 53.06 years and mean disease duration of 13.74 years. As regard IES-R scores, total sample mean (SD) was 29.7 +/- 17.5; of note, 209 participants (41.2%) had scores >=33. IES-R scores resulted to be significantly different according to: gender (F=14.75, P<0.01), residence in Lombardy (F=8.22, P<0.01), diagnostic group (F=4.17, P= 0.02), prescription of psychiatric therapy before COVID-19 (F=17.87, P<0.01), type of pre-existing psychiatric symptoms (F=7.59, P<0.01), use of psychiatric compounds before COVID-19 (F=27.17, P<0.01), type of psychiatric compounds before COVID-19 (F=14.58, P<0.01), current prescription of psychiatric compounds (F=29.30, P<0.01), type of ongoing psychiatric compounds (F=13.81, P<0.01), anxiety source (F=20.81, P<0.01), and the presence of overweight/obesity (F=7.60, P< 0.01), bowel diseases (F=8.00, P<0.01), depressive symptoms (F=5.74, P=0.02), anxiety symptoms (F=26.81, P<0.01). Independent variables associated with higher IES-R scores were: female gender (beta=0.14, P <0.01), living outside Lombardy (beta=-0.10, P=0.02), intestinal diseases (beta=0.10, P=0.03), anxiety (beta=0.19, P <0.01) and health related concerns (beta=0.13, P <0.01). Conclusion(s): These findings point out high rate of severe self-reported distress among Italian RD patients in response to the pandemic. Given that psychological and emotional stressors strictly affect disease severity leading to poorer quality of life, our study sustains the necessity to implement support measures for fragile patients during traumatic events. No conflict of interest Copyright © 2021",94933,low
215,0.0328308736837728,Admission lactic acid levels are associated with clinical and radiographic grade of aneurysmal subarachnoid hemorrhage and predicts inpatient mortalityNeurocritical Care,"Introduction: Previous work has shown elevated sympathetic tone and metabolic crisis as part of aneurysmal subarachnoid hemorrhage (aSAH) pathophysiology. Serum lactate may serve as a marker for these disease processes. This study examines: 1) the relationship between admission lactate and the clinical and radiographic severity of aSAH, and 2) whether levels predict outcomes including vasospasm, delayed cerebral ischemia (DCI), and inpatient mortality. Method(s): This is a retrospective analysis of 75 consecutive aSAH patients with lactate drawn on admission. Patients with known infection were excluded. Patients with an elevated lactate (>2.2mmol/L) were compared to those with normal levels. Differences between groups were compared using chi-square tests for categorical variables, and independent t-tests for continuous variables. Spearman correlations were calculated between lactate levels and mean values for continuous variables. Result(s): Elevations in lactate were associated with admission GCS, Hunt & Hess (HH) grade, Fisher score, serum white blood cell count (WBC), troponin I (TN), glucose, and ventilator-free days (VFD). Positive correlation was found between lactate and HH, Fisher score, WBC, TN, and glucose. An inverse correlation existed between lactate and GCS, and VFD. Compared to survivors, non-survivors had significantly higher lactate levels. All results were considered significant with a p-value <0.05. No association between lactate and the development of vasospasm or DCI was found. Conclusion(s): Higher admission serum lactate is positively correlated with HH grade, Fisher score, serum WBC, TN and glucose, but negatively correlated with admission GCS and VFD. Presence of an elevated lactate was also predictive of inpatient mortality. This is the first report of correlation between early lactate and aSAH severity, and conflicts with prior results suggesting an association between lactic acid and the development of DCI. Further studies are needed to determine whether lactate elevations relate to hypovolemia, acute inflammatory response, elevated sympathetic outflow, or other cause.",131118,low
216,0.032476111132007,Suicidological analysis of Moscow and Saint Petersburg in the context of the pandemic. [Russian]Ekologiya Cheloveka / Human Ecology,"Background: Suicide mortality in Moscow and St. Petersburg - the two most populated federal cities of Russia - is not characterized enough. However, these cities have been mostly affected by the pandemic. Aim: To analyze the latest trends in suicidal behavior in the historic capitals of Russia in an observational study, taking into account pandemic waves. Methods: The monthly numbers of suicides (date of death, sex, age, and method), and number of cases in Moscow (n=1558) and St. Petersburg (n=2077) from January 01, 2016, to September 30, 2021, were used to calculate frequencies per 100,000 and to analyze tendencies across sex and age groups. Statistics were based on Z-criterion, and confidence intervals were calculated as per Wilson. Results: Moscow and St. Petersburg belong to regions with suicide rates lower than the world average rates. Suicide mortality in both capitals was declining, but was more pronounced in Moscow. In St. Petersburg, the average rate was 3.28 higher, with 3.53 times in men and 2.84 times higher in women. The male-to-female ratio in St. Petersburg was also higher than that in Moscow (3.39:1 versus 2.87:1). In both cities, the highest rates were found among citizens aged > 80 years, and the rates in young and adults (aged 20-49 years) are also high. Those aged 60-69 years have comparatively low rates. After a brief decline in the suicide rates during the first quarantine period in 2021, the decline in Moscow stopped, whereas in St. Petersburg, a gradual increase began, reaching significant levels among men in September. The most traditional method of self-harm (hanging) decreased, whereas the proportion of falls from a height increased (38.8% growth), as well as self-poisoning and self-cutting. A more detailed analysis of the ""urban"" method of suicide such as falling from a height revealed that in 2021, in St. Petersburg, a category of persons emerged among whom this method has grown dramatically (five times) in men aged > 60 years. Conclusion: Suicides among the urbanized population of the largest metropolitan areas in Russia during the pandemic demonstrate trends that raise concerns, and the structure of mortality and methods of self-harm are changing. Further monitoring and intensification of preventive measures are needed, especially in St. Petersburg.",155977,low
217,0.0324111967597572,Outcomes of delayed graft function: A systematic review and meta-analysisJournal of the American Society of Nephrology,"Background: Delayed Graft Function (DGF) is a frequent complication of kidney transplantation, but its impact on long and short-term outcomes remain uncertain. Method(s): We conducted a literature search for studies investigating the association of DGF on subsequent outcomes from 2007-2020. Outcomes were abstracted and used to create cumulative forest plots with pooled odds ratios, stratifying our analysis between center-studies and registry-studies and follow-up time where possible. The outcomes analyzed were graft failure (GF), acute rejection (AR), patient survival, and renal function. Result(s): Of the 1464 articles reviewed, 27 were included. In single center-studies, DGF patients experienced higher GF at 1 year (OR 2.45, 95% CI 1.79-4.29, p<0.001), 3 years (OR 1.70, 95% CI 1.01-2.86, p<0.001), increased AR 1-year post-transplant (OR 1.48, 95% CI 1.79-4.28, p=0.001), and decreased 1-year patient survival (OR 0.46, 95% CI 0.28-0.73, p<0.001). Registry-studies showed a similar significant association with GF at 1 year (OR 2.76, 95% CI 1.79-4.28, p<0.001) and 3 years (OR 1.70, 95% CI 1.01- 2.86, p=0.046), with AR within 1 year (OR 1.48, 95% CI 1.45-8.67, p=0.005) and 3-years (OR 0.54, 95% CI 0.41-0.72, p<0.001), and 1-year survival (OR 0.45, 95% CI 0.26, 0.77, p<0.001). Qualitative analysis showed that DGF had significant effect on eGFR and creatinine levels, though studies conflict on timeframe. Few studies investigated outcomes stratifying DGF severity or KDPI. Conclusion(s): DGF was associated with increased risk of GF, AR, and mortality, although effects were largest within 1 year post-transplant. Our analysis indicated a need for a standardized method to measure DGF severity and further studies on DGF outcomes on varying KDPI. These results should inform the selection process, treatment, and monitoring of transplanted kidneys at high risk for DGF.",105396,low
218,0.0323707569617336,"Investigation of the pattern of the effect of age group, time period, and birth cohort on the incidence of suicidal deaths in Lorestan Povince, 2006-2015. [Persian]Iranian Journal of Epidemiology","Background and Objectives: Suicide is one of the psychosocial problems in Lorestan Province due to its sociocultural and economic structure. The aim of this study was to investigate the effect of age group, time period, and birth cohort on the suicide incidence in Lorestan Province during the 2006-2015. Method(s): In this study, to overcome the identifiability problem, the Carstensen approach and natural cubic smoothing character were used in age-period-cohort models (APC). Cohort effect was calculated as the relative rate from the 1984 reference cohort for men and 1987 cohort for women. The period effect in both sexes constrained to be relative to 1390 and to be 0 on average with 0 slope. The best APC model for both sexes was the models with ""AC-P"" parameter, 7 knots, and natural splines for men and B splines for women. All analyses were performed using the R software with Epi package. Result(s): The age effect showed that the highest suicide incidence rate was seen in the elderly. Two strong birth cohort effects were observed, one increasing one in the 1980 cohort and one decreasing one in 1991 cohort. The most significant period effect was seen in men in 2011. Conclusion(s): The effects of 1991 and 1980 birth cohorts could be due to the consequences of imposed war in Iran. The three economic phenomena, oil price change, increased divorce rate, and increased unemployment rate can be effective in the emergence of the period effect in year 2011. Copyright © 2019, Iranian Epidemiological Association. All rights reserved.",111849,low
219,0.0321089753516676,"Clinical outcomes and inflammatory markers by HIV serostatus and viral suppression in a large cohort of patients hospitalized with COVID-19JAIDS, Journal of Acquired Immune Deficiency Syndromes","Background: Limited data exist about clinical outcomes and levels of inflammatory and immune markers among people hospitalized with COVID-19 by HIV serostatus and by HIV viral suppression. Setting: Large tertiary care health system in the Bronx, NY, USA. Methods: We conducted a retrospective cohort study of 4613 SARS-CoV-2 PCR-positive patients admitted between March 10, 2020, and May 11, 2020. We examined in-hospital intubation, acute kidney injury (AKI), hospitalization length, and in-hospital mortality by HIV serostatus, and by HIV-viral suppression and CD4 counts among people living with HIV (PLWH) using adjusted competing risks regression. We also compared immune and inflammatory marker levels by HIV serostatus and viral suppression. Results: Most patients were either non-Hispanic Black (36%) or Hispanic (37%); 100/4613 (2.2%) were PLWH, among whom 15 had detectable HIV viral load. PLWH compared to patients without HIV had increased intubation rates (adjusted hazard ratio 1.73 [95% CI: 1.12 to 2.67], P = 0.01). Both groups had similar rates of AKI, length of hospitalization, and death. No (0%) virally unsuppressed PLWH were intubated or died, versus 21/81 (26%, P = 0.04) and 22/81 (27%, P = 0.02) of virally suppressed PLWH, respectively. Among PLWH, higher CD4 T-cell counts were associated with increased intubation rates. C-reactive protein, IL-6, neutrophil counts, and ferritin levels were similar between virally suppressed PLWH and patients without HIV, but significantly lower for unsuppressed PLWH (all P < 0.05). Conclusion: PLWH had increased risk of intubation but similarly frequent rates of AKI and in-hospital death as those without HIV. Findings of no intubations or deaths among PLWH with unsuppressed HIV viral load warrant further investigation.",147441,low
220,0.0320619608290471,Electronic cigarette users' perspective on the COVID-19 pandemic: observational study using Twitter data. (Theme Issue: Novel coronavirus (COVID-19) outbreak rapid reports.)JMIR Public Health and Surveillance,"Background: Previous studies have shown that electronic cigarette (e-cigarette) users might be more vulnerable to COVID-19 infection and could develop more severe symptoms if they contract the disease owing to their impaired immune responses to viral infections. Social media platforms such as Twitter have been widely used by individuals worldwide to express their responses to the current COVID-19 pandemic. Background: In this study, we aimed to examine the longitudinal changes in the attitudes of Twitter users who used e-cigarettes toward the COVID-19 pandemic, as well as compare differences in attitudes between e-cigarette users and nonusers based on Twitter data. Methods: The study dataset containing COVID-19-related Twitter posts (tweets) posted between March 5 and April 3, 2020, was collected using a Twitter streaming application programming interface with COVID-19-related keywords. Twitter users were classified into two groups: Ecig group, including users who did not have commercial accounts but posted e-cigarette-related tweets between May 2019 and August 2019, and non-Ecig group, including users who did not post any e-cigarette-related tweets. Sentiment analysis was performed to compare sentiment scores towards the COVID-19 pandemic between both groups and determine whether the sentiment expressed was positive, negative, or neutral. Topic modeling was performed to compare the main topics discussed between the groups. Results: The US COVID-19 dataset consisted of 4,500,248 COVID-19-related tweets collected from 187,399 unique Twitter users in the Ecig group and 11,479,773 COVID-19-related tweets collected from 2,511,659 unique Twitter users in the non-Ecig group. Sentiment analysis showed that Ecig group users had more negative sentiment scores than non-Ecig group users. Results from topic modeling indicated that Ecig group users had more concerns about deaths due to COVID-19, whereas non-Ecig group users cared more about the government's responses to the COVID-19 pandemic. Conclusion: Our findings show that Twitter users who tweeted about e-cigarettes had more concerns about the COVID-19 pandemic. These findings can inform public health practitioners to use social media platforms such as Twitter for timely monitoring of public responses to the COVID-19 pandemic and educating and encouraging current e-cigarette users to quit vaping to minimize the risks associated with COVID-19.",156623,low
221,0.0316568907729677,[Voluntary stopping eating and drinking (VSED) : A position paper of the Austrian Palliative Society]Wiener Medizinische Wochenschrift,"In some cases terminally ill patients fear of prolonged dying and suffering can manifest itself in the voluntary refusal of food and fluids, aiming to accelerate the dying process. This represents a considerable area of conflict, because of the ethical responsibility to not aid a person's death but also to respect a patients autonomy. There is a clear separation between an assisted suicide and following a patient's wishes. Not to accept the voluntary refusal of FVNF would have to be considered as forced treatment of patients while they are capable of self-determination. Several symptoms associated with or caused by voluntary refusal of food and fluids do require palliative care. It is important to be aware, that caring for dying patients refusing food and fluids and accepting their choice is not synonymous with assisted suicide. Rather is it part of medical and nursing care for patients during their dying-process.An interprofessional working group of the Austrian Palliative Society (OPG) intends to shed light on the legal, ethical, medical and nursing related aspects concerning this subject of growing public and professional interest.",34926,low
222,0.0316059177042105,Percutaneous transhepatic biliary drainage in hepatopancreaticobiliary cancer: Contemporary efficacyJournal of Clinical Oncology. Conference,"Background: Hepatopancreaticobiliary cancers (HPBC) are increasing in incidence worldwide with most incurable at diagnosis. Local HPBC progression invariably results in malignant biliary obstruction (MBO) leading to elevated serum excretory products, drug toxicity, pruritus, chemotherapy ineligibility, maldigestion & sepsis. Percutaneous transhepatic biliary drainage (PTBD)via a simple hollow multi-perforated 3-5mm catheteris used to passively divert bile in a gravity dependent fashion leading to dehydration, malnutrition & cancer cachexia. PTBD catheters are technologically unmodified for decades & frequently problematic; leaks, dislodgement & occlusion culminate in hospital admissions & even death. As HPBC incidence increases, the need for effective PTBD for MBO will also increase. We sought to elucidate the contemporary clinical efficacy of PTBD in HPBC pts. Method(s): 99 (59M, mdn 62 yrs) consecutive locally advanced, post systemic therapy HPBC pts (pancreas 49, cholangioca 48, hepatocellular 2) who underwent PTBD insertion (62 pts post ERCP attempts & 25 endoprostheses) for MBO to address hyperbilirubinemia, cholangitis, pruritus & post insertion exchange for leaking, dislodgement & occlusion between 2013-2015. Result(s): 134 PTBD catheters (1-4/pt) were inserted & required 294 exchanges. Serum bilirubin <= 2mg/dl was achieved in 59 pts (pre- PTBD mdn 7.9mg/dl); only 19 pts received cancer therapy post-PTBD. Comorbidities precluded cancer therapy in the remaining 40 pts. 68 pts required an unscheduled PTBD catheter exchange (1-4/pt) for dysfunction; commonest was peri-catheter bile leak in 47 pts. 30 pts required admission specifically for PTBD-related dysfunction. Median survival post-PTBD was 74 ds. Conclusion(s): PTBD is effective to address HBPC MBO associated hyperbilirubinemia, but normalization was an unreliable prognostic indicator of cancer therapy eligibility due to worsening morbidities. Healthcare resource utilization was increased significantly by PTBD catheter-associated morbidity. The abrupt 47-75% decreases in 2016 Medicare PTBD CPT codes further supports the case for a strategic focus on improvements in patient selection and PTBD catheter function.",130152,low
223,0.0315666606092851,Practical approach to respiratory emergencies in neurological diseasesNeurological Sciences,"Many neurological diseases may cause acute respiratory failure (ARF) due to involvement of bulbar respiratory center, spinal cord, motoneurons, peripheral nerves, neuromuscular junction, or skeletal muscles. In this context, respiratory emergencies are often a challenge at home, in a neurology ward, or even in an intensive care unit, influencing morbidity and mortality. More commonly, patients develop primarily ventilatory impairment causing hypercapnia. Moreover, inadequate bulbar and expiratory muscle function may cause retained secretions, frequently complicated by pneumonia, atelectasis, and, ultimately, hypoxemic ARF. On the basis of the clinical onset, two main categories of ARF can be identified: (i) acute exacerbation of chronic respiratory failure, which is common in slowly progressive neurological diseases, such as movement disorders and most neuromuscular diseases, and (ii) sudden-onset respiratory failure which may develop in rapidly progressive neurological disorders including stroke, convulsive status epilepticus, traumatic brain injury, spinal cord injury, phrenic neuropathy, myasthenia gravis, and Guillain-Barre syndrome. A tailored assistance may include manual and mechanical cough assistance, noninvasive ventilation, endotracheal intubation, invasive mechanical ventilation, or tracheotomy. This review provides practical recommendations for prevention, recognition, management, and treatment of respiratory emergencies in neurological diseases, mostly in teenagers and adults, according to type and severity of baseline disease.",26080,low
